ID / NO URUT,OWNER,ALAMAT OWNER,SITE ID,SITE SAP,SITE NAME,LONGITUDE,LATTITUDE,TINGGI MENARA (m),TINGGI BANGUNAN (m),JUMLAH PENGGUNA,JUMLAH KAKI/LEGS,ALAMAT MENARA,TOWER TYPE,SITE TYPE,NO IJIN,TANGGAL IJIN,BERLAKU HINGGA,JENIS IJIN (IMB/PBG),STATUS IJIN,PRS,PRS ID
1,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,Diwak,110.4264733,-7.196965,52,,3,4,Kenangkan Rt.01/Rw.07  Bergas Kidul Bergas Semarang Semarang 50241,,,,,,,,,
2,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,BANDUNGAN,110.36098,-7.22226,32,,0,4,Jl.Trunojoyo/ Tirtomoyo  Ds Bandungan Semarang Semarang Semarang 50243,,,,,,,,,
3,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,UNGARAN,110.40904,-7.14966,37,,1,4,Jl. Diponegoro No.255 Kel Gedanganak,,,,,,,,,
4,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,Somagawe,110.46454,-7.36683,72,,3,4,"RT.3 RW.05 Dsn Rajan  Ds.Sumogawe Kec.Getasan, Semarang Semarang 50241",,,,,,,,,
5,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,Brangkal,110.49538,-7.25149,30,,3,4,Sombron RT 001/RW 002  Kel.Tlomplakan Kec.Tuntang Semarang Semarang 50773,,,,,,,,,
6,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,TEMPURANUNGARAN,110.5918083,-7.2069817,72,,1,4,"Jl. Cekelan RT 05 RW II Kel. Tempuran Kec. Bringin Kab. Semarang, Jawa Tengah",,,,,,,,,
7,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,SUKORINI BANDUNGA,110.3601,-7.22513,42,,2,4,Dusun Golak RT.003/RW.007  Ds Kenteng Bandungan Semarang Semarang 50241,,,,,,,,,
8,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,KALIMOSODOBANDU,110.37659,-7.22293,62,,4,4,"Dusun Ngunut RT,002/RW,001 Desa Jetis Kec, Bandungan Kab, Semarang",,,,,,,,,
9,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,SugionoUNR,110.41711,-7.12171,42,,4,4,Susukan Krajan RT.001/RW.004  Susukan Ungaran Timur Semarang Semarang 50241,,,,,,,,,
10,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,KALIREJO CITY,110.42223,-7.13037,42,,3,4,Jl. Jatiraya RT 03 RW 01 No. 55 Kalirejo Ungaran Timur Semarang Semarang 50241,,,,,,,,,
11,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,Sugiopranoto-Ambara,110.39244,-7.26087,62,,4,4,Lingkungan sumber rt.02 rw.04  panjang kec. ambarawa Semarang Semarang 50241,,,,,,,,,
12,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,Letjend S Parman Ung,110.41153,-7.1385,36,,2,1,Jl Letjen S Parman RT 6 RW 1  Sidomulyo Ungaran Timur Semarang Semarang 50241,,,,,,,,,
13,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,JetakDuren,110.36501,-7.215,52,,1,4,Desa Pitoyo RT.03 RW.06  Bandungan Bandungan Semarang Semarang 50241,,,,,,,,,
14,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,KartiniAmbarawa,110.42107,-7.24784,52,,2,4,"Kelurahan Bawen, RT.001 RW.014  Bawen Bawen Semarang Semarang 50241",,,,,,,,,
15,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,TengaranUngaran,110.52174,-7.41665,62,,4,4,"Dusun Kali waru, RT.002 RW.005  Tengaran Tengaran Semarang Semarang 50241",,,,,,,,,
16,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,Kaliwungu SusukanRe,110.62704,-7.46444,42,,1,4,Dsn. Canggal RT. 003/017  Kaliwungu Kaliwungu Semarang Semarang 50241,,,,,,,,,
17,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,KarangGondangPabe,110.53197,-7.32379,42,,3,4,Dsn. Kalangan RT.002 RW.005  Sukoharjo Pabelan Semarang Semarang 50241,,,,,,,,,
18,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,3G_NYAMAT_TENGAR,110.53450,-7.34425,42,,2,4,Rt 01 Rw 01  Ujung Ujung Pabelan Semarang Semarang 50241,,,,,,,,,
19,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,BlueGemahBeringin,110.57803,-7.32575,42,,2,1,Watusetugel RT.020 RW.07 Krandon Lor  Watusetugel Krandon Lor Semarang Semarang 50241,,,,,,,,,
20,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,SAMBANTBG,110.42963,-7.21888,72,,3,4,"Jl. Raya Bawen KM 31.5, Kel. Harjosari, Kec. Bawen, Kab. Semarang, 55061, Jawa Tengah",,,,,,,,,
21,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,Kebonagung,110.30020,-7.26110,52,,1,4,Dsn Ngasinan Rt.02/03  Kebon Agung Sumowono Semarang Semarang 28111,,,,,,,,,
22,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,CandiGedongsongo,110.34189,-7.21032,36,,1,1,Area Candi Gedongsongo  Gedongsongo Bandungan Semarang Semarang 50241,,,,,,,,,
23,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,MedayuSuruh,110.56185,-7.39282,42,,2,4,Dusun Kidul Jurang RT010 RW002  Dsn Kidul Jurang Susukan Semarang Semarang 40115,,,,,,,,,
24,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,TukangPabelan Reloc,110.56854,-7.31302,26,,1,1,Ds Tukang RT 01 RW 02  Tukang Pabelan Semarang Semarang 50241,,,,,,,,,
25,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,WiruBringinRelocatio,110.57089,-7.22436,26,,1,1,Ds Wiru RT 02 RW 01  Wiru Bringin Semarang Semarang 50241,,,,,,,,,
26,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,PakisBringinReloc,110.53686,-7.23553,26,,1,1,Rt. 002/ Rw. 001 Rembes kec. Bringin  Rembes Bringin Semarang Semarang 50241,,,,,,,,,
27,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,restarea tolsalatiga,110.53317,-7.32765,52,,1,3,Dusun Baok RT3 RW4  Ujung Ujung Pabelan Semarang Semarang 50241,,,,,,,,,
28,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,NalenTolUngaran,110.49698,-7.28233,52,,1,3,Watuagung RT 00 RW 06  Watuagung Tuntang Semarang Semarang 50241,,,,,,,,,
29,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,KALIWUNGUSMG,110.62537,-7.46300,52,,1,4,"DUSUN SANGGAL DESA KALIWUNGU RT3 RW17,KEC.KALIWUNGU",,,,,,,,,
30,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,KAWENGEN,110.47715,-7.10145,72,,1,4,JL. DUKUH SLELU RT01/RW03 DS. KAWENGEN KEC. UNGARAN TIMUR,,,,,,,,,
31,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,KALONGANSMG,110.46423,-7.14385,52,,3,4,DS. KAMBANGAN RT 01/ 13 KEL GONDORIYO KEC BERGAS SEMARANG KAB SEMARANG,,,,,,,,,
32,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,PRINGAPUSUTARA,110.48890,-7.17904,52,,4,4,WONOREJO KRAJAN RT 03 RW 01 DS. WONOREJO KEC PRINGAPUS KAB SEMARANG,,,,,,,,,
33,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,GOGODALEM,110.55189,-7.23035,52,,3,4,"DUSUN PLATARAN RT 01 RW 02 DESA GOGODALEM BRINGIN, KAB. SEMARANG",,,,,,,,,
34,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,PRINGAPUS_TM,110.46349,-7.18898,70,,1,4,"RT 04/03, KEL. PRINGAPUS, KEC. PRINGAPUS, SEMARANG",,,,,,,,,
35,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,UNGARAN_PEMDA,110.40364,-7.13817,52,,2,4,JL. SLAMET RIYADI NO.2 UNGARAN,,,,,,,,,
36,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,JAMBU,110.36691,-7.27778,72,,1,4,NGASEMSARI RT 8 RW 3 KEL. JAMBU KEC. JAMBU KAB. SEMARANG,,,,,,,,,
37,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,BAWEN,110.43283,-7.23756,55,,1,4,JL. RAYA SEMARANG - SOLO,,,,,,,,,
38,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,KALIGANDU,110.51300,-7.39772,70,,2,4,"DS KLERO RT 10/03 KEC. TENGARAN, SEMARANG",,,,,,,,,
39,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,NYATNYONO,110.39312,-7.14494,52,,4,4,"JL. HASAN MUNADI RT.03 RW.02 KAMPUNG SENDANG REJO, DESA NYATNYONO, KECAMATAN UNGARAN, KABUPATEN SEMARANG",,,,,,,,,
40,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,KALIREJO,110.43196,-7.13918,72,,4,4,"JL. YUDHISTIRA RT.03 / RW.11 KELURAHAN KALONGAN, KECAMATAN UNGARAN TIMUR, KABUPATEN SEMARANG",,,,,,,,,
41,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,KLEPUDMT(P),110.41891,-7.17970,72,,2,4,Dk Sikunir Rt 03 Rw 07 Bargas Lor Bargas Kab Semarang,,,,,,,,,
42,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,PRINGAPUSDMT,110.44402,-7.18646,72,,3,4,Desa Klepu Rt01 Rw01 Kel. Klepu Kec. Pringapus,,,,,,,,,
43,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,BERGASDMT,110.38822,-7.20989,72,,2,3,Jl. Jimbaran Blater Rt.07 Rw.03 Kel. Jimbaran Kec. Bawen Kab. Semarang,,,,,,,,,
44,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,MAPAGANDMT,110.39798,-7.11790,72,,2,4,Dusun Kretek Rt06 Rw 08 Desa Lerep Kec Ungaran Barat Kab Semarang,,,,,,,,,
45,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,JAMBUDMT,110.37336,-7.27469,72,,1,4,Jambu Lor Rt.04 Rw.01 Kel. Jambu Kec. Jambu Kab. Ungaran,,,,,,,,,
46,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,NYATNYONODMT,110.385113888888,-7.15025,72,,3,4,Kel. Nyatyono RT.02 RW.04 Kec. Ungaran Barat Kab. Semarang,,,,,,,,,
47,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,NGAJARANDMT,110.512385,-7.21644,72,,2,4,Desa Tanjung Rt01 Rw01 Kec Bringin Kab Semarang,,,,,,,,,
48,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,UNGARAN2DMT,110.41036,-7.12701,62,,3,4,Jl. Jalak Ray III Rt: 12/1 Kuncen Ungaran,,,,,,,,,
49,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,Wujil,110.406000,-7.174200,42,,1,4,Jl. Desa Pagersari RT/RW. 002/010  Wujil Bergas Semarang Semarang 50241,,,,,,,,,
50,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,BantalBancak,110.6190097,-7.248379,72,,1,4,Dusun Jatisari RT.08/02 Desa Plumutan  Ds Plumutan Bancak Semarang Semarang 50241,,,,,,,,,
51,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,Giling,110.53647,-7.276960,72,,1,4,"Desa Giling Kec. Pabelan, RT/RW : 06/02  Ds Giling Pabelan Semarang Semarang 50241",,,,,,,,,
52,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,Giling,110.470414,-7.154591,72,,1,4,Jl. Jimbaran Lor RT/RW : 03/08  Ds Gondoriyo Bergas Semarang Semarang 50241,,,,,,,,,
53,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,TLOGO,110.490707,-7.265585,72,,1,4,"Kp Krajan desa Tlogo RT 1 RW 1 Kel. Tlogo , Kec. Tuntang, Kab. Semarang",,,,,,,,,
54,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,BABADAN,110.411807,-7.161775,72,,1,4,"Jl. Jayanegara RT 5 RW 5, Kel. Langensari,  Kec. Ungaran Bar., Kab Semarang",,,,,,,,,
55,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,AMBARAWA,110.402,-7.252916667,72,,1,4,"Jl. Dr. Cipto No.100  Kel. Kranggan, Kec. Ambarawa, Kab. Semarang",,,,,,,,,
56,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,BANYUBIRU,110.401708,-7.29344,72,,1,4,"Jalan Melati Banyubiru, Banyubiru, Kampungrapet, Banyubiru, Semarang, Jawa Tengah 50664",,,,,,,,,
57,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,SRUWEN,110.5291944,-7.42916667,72,,1,3,"Jl. Merbabu, Dusun Tegalrejo Rt 01/Rw. 01, Kel. Tegalrejo, Kec. Tengaran, Kab. Semarang, Prop. Jateng",,,,,,,,,
58,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,GETASAN,110.443332,-7.377927,72,,1,4,"Jampelan RT 2 RW 2 Kel. Getasan Kec. Getasan,Kab. Semarang, Jawa Tengah",,,,,,,,,
59,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,PABELAN,110.5127487,-7.28832117,72,,1,4,"RT 006 RW 001 , Desa Pabelan  Kec.Pabelan,Kab. Semarang, Jawa Tengah 50771",,,,,,,,,
60,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,LEYANGAN,110.432543,-7.139024,72,,1,4,Kp Rejowinangun Desa Kalongan Kec. Ungaran Timur Kab. Semarang,,,,,,,,,
61,PT. Dayamitra Telekomunikasi Tbk,"Gedung PT. Telekomunikasi Indonesia, Tbk. Jl. Pahlawan No. 10 Semarang Jawa Tengah",,,TAWANGSATU,110.6215833,-7.432136111,72,,1,4,"Dusun Tawang II RT 03 RW 05 Kel. Tawang, Kec. Susukan, Kab. Semarang",,,,,,,,,
